,agent,model,test_nlp_mf,test_nlp_mb,test_nlp_habit,test_nlp_wsls,test_nlp_kdh,test_nlp_logistic_regression,test_nlp_rnn_100,test_nlp_rnn_200,test_nlp_rnn_400,test_nlp_rnn_600,test_nlp_rnn_1000,best_test_nlp_rnn,best_epoch
66,66,mf,0.4240582438781857,0.5098174080252648,0.5054154580980539,0.5395266578644514,0.6951201633810997,0.5290123252570629,0.5802740156650543,0.5082127392292023,0.48318533301353456,0.46230106949806216,0.4649887204170227,0.46230106949806216,600
67,67,mf,0.6849312958717346,0.6890215235352516,0.6938525963425637,0.6887636771798133,0.69574551320076,0.6867404924631119,0.6945318102836608,0.6920468211174011,0.701398742198944,0.7278980016708374,0.9250800848007202,0.6920468211174011,200
68,68,mf,0.5647493420466781,0.6299728500247002,0.6581171333193778,0.6172798898369074,0.6869856472015381,0.6144203421771526,0.6608927845954895,0.6409524917602539,0.6108811616897583,0.6068797469139099,0.6087895035743713,0.6068797469139099,600
69,69,mf,0.37825689952936953,0.44045515987649553,0.4427431830316782,0.5078901025950909,0.7066433909535408,0.5035566959828138,0.5981603145599366,0.45224605202674867,0.4331613600254059,0.4301219403743744,0.4280193507671356,0.4280193507671356,1000
70,70,mf,0.3928472059308551,0.46393807310983537,0.4516255267038941,0.5210809338241816,0.7025823898911476,0.5113243190348149,0.5727695822715759,0.4607191920280457,0.4332008957862854,0.4304946541786194,0.4306357681751251,0.4304946541786194,600
71,71,mf,0.2630544185321778,0.4030044879410416,0.36083358112722635,0.33718195750936863,0.7020550128817559,0.3356506129130721,0.5315264642238617,0.3887133836746216,0.3408804357051849,0.30190960466861727,0.27881047427654265,0.27881047427654265,1000
72,72,mf,0.214038274119026,0.38386098566092547,0.3255175949409604,0.27608564066980035,0.6935227810144424,0.2725179343745112,0.530760508775711,0.35372806787490846,0.3250383228063583,0.29256999492645264,0.26059965789318085,0.26059965789318085,1000
73,73,mf,0.20965088268037652,0.46781523183360696,0.33007419643551106,0.3050478787841275,0.698993980705738,0.30182003326993434,0.5459722578525543,0.35465823411941527,0.3185796409845352,0.2912995487451553,0.25700326561927794,0.25700326561927794,1000
74,74,mf,0.31197201787400985,0.5372536869496107,0.45868263903260226,0.38300824636965985,0.6889376032948494,0.38077818485349413,0.5845582485198975,0.4606137633323669,0.43171384930610657,0.3806457757949829,0.36024128794670107,0.36024128794670107,1000
75,75,mf,0.5498065569326281,0.5913682871758937,0.608571376234293,0.6307249662280083,0.6923560982942581,0.6235773683190347,0.6360064387321472,0.6125810503959656,0.5889009952545166,0.5872905373573303,0.6850537538528443,0.5872905373573303,600
76,76,mf,0.2703662264918093,0.48365065058367324,0.3508019960187375,0.4060374533385039,0.7355894932746887,0.40205411621183157,0.592270302772522,0.3906046390533447,0.343994003534317,0.3228687793016433,0.313603463768959,0.313603463768959,1000
77,77,mf,0.3872823598384857,0.4363608645498752,0.34244144571200014,0.47099029834568495,0.8017283200025558,0.4684883457273245,0.592071396112442,0.40310571789741517,0.34674996137619013,0.33458868265151975,0.34409725069999697,0.33458868265151975,600
78,78,mf,0.21174609793481064,0.4981170701533556,0.37133968801051376,0.27260408189613367,0.6932329081892967,0.2767691087163984,0.5393564105033875,0.39964199662208555,0.36023135781288146,0.33251687586307527,0.26782400608062745,0.26782400608062745,1000
79,79,mf,0.1644819854870147,0.35626510798372324,0.2666127669811248,0.2591030928054824,0.696736265540123,0.25137055954243986,0.5332439243793488,0.3233686089515686,0.26689920723438265,0.24465540051460266,0.21162213087081905,0.21162213087081905,1000
80,80,mf,0.45708423511544244,0.5336911427788437,0.4737689059376716,0.5769246841073036,0.7515222446620464,0.5737401600331068,0.6537304878234863,0.5024900436401367,0.46626060605049136,0.4607973039150238,0.4925249457359314,0.4607973039150238,600
