,agent,fit_parameters_mf,train_nlp_mf,test_acc_mf,test_nlp_mf,fit_parameters_mb,train_nlp_mb,test_acc_mb,test_nlp_mb,fit_parameters_habit,train_nlp_habit,test_acc_habit,test_nlp_habit,fit_parameters_wsls,train_nlp_wsls,test_acc_wsls,test_nlp_wsls,fit_parameters_kdh,train_nlp_kdh,test_acc_kdh,test_nlp_kdh,fit_parameters_logistic_regression,train_nlp_logistic_regression,test_acc_logistic_regression,test_nlp_logistic_regression
135,27,[0.31321732 5.73241608],0.4295473500530778,0.775,0.4393186258734204,[0.44195674 9.34590142],0.24224536575223618,0.915,0.1853146564261988,[0.39438765 2.51036451],0.36342525027512684,0.875,0.3316206004843116,[0.90512433 0.25368014],0.40005644914876387,0.885,0.32792693614959717,[0.50500001 0.5275    ],0.6923653484051474,0.48,0.6952306711673737,"[array([1.48470527]), array([[-0.01856184,  0.38784149,  2.16742284]])]",0.3455330382427201,0.8894472361809045,0.2669589631073177
136,27,[0.33445718 5.35086928],0.44065166638494885,0.815,0.3708241013553925,[ 0.43953799 10.        ],0.22543458796858062,0.91,0.2435948678443674,[0.43667041 2.5009546 ],0.35612424917639585,0.88,0.3502528276666999,[0.91538471 0.24372745],0.3829752796325066,0.86,0.387391337454319,[0.50249948 0.52749974],0.6923840987961282,0.485,0.6950619131326675,"[array([1.55150001]), array([[0.11487646, 0.68078287, 2.22745808]])]",0.32337887967005374,0.8592964824120602,0.3472822332382202
137,27,[0.32068232 4.63403574],0.5012697995838199,0.855,0.3772191396309063,[0.46526535 8.60703844],0.2737715024749896,0.93,0.16654098857892677,[0.41183392 2.45230951],0.3724364019901321,0.885,0.3034356684982777,[0.90410969 0.25694457],0.4078257595685942,0.905,0.30151826061308384,[0.48999964 0.50999899],0.6929469672256477,0.505,0.6931473192572594,"[array([1.35973844]), array([[-0.0438488 ,  0.71205317,  2.21609848]])]",0.3484239024668932,0.8743718592964824,0.26782537180930377
138,27,[0.35436436 4.63097092],0.4681766868688427,0.735,0.5258373986696825,[0.44921106 9.55349108],0.25079356858962626,0.895,0.2720909700833727,[0.45924063 2.49726541],0.35244604086778325,0.855,0.3951980075985193,[0.91329488 0.22857137],0.3802893193914161,0.835,0.41609738662838935,[0.50249998 0.51250004],0.6929844642538131,0.515,0.6923595261573792,"[array([1.54670369]), array([[0.07509082, 0.64233003, 1.97045675]])]",0.334085195120424,0.8341708542713567,0.33063363514840605
139,27,[0.36810386 4.38661916],0.4873979193014275,0.79,0.44342774434015153,[0.51122895 9.18825865],0.23872397658904712,0.88,0.31370511902263387,[0.48513006 2.49147065],0.34674667379629726,0.81,0.4181313345208764,[0.93177398 0.23776217],0.3566382421557727,0.8,0.5183943375572562,[0.5000001  0.51250003],0.6929907142798635,0.52,0.6923032534122467,"[array([1.66243634]), array([[0.07156831, 0.53114028, 2.43565438]])]",0.2994793143030256,0.8040201005025126,0.4623620545119047
140,28,[0.38206578 2.38490525],0.5870015530810317,0.73,0.5640384649857879,[0.58482782 3.35696731],0.531984881874266,0.77,0.5056206633895636,[0.  0.1],0.6931469805599655,0.525,0.6931471824645996,[0.71524686 0.51558086],0.6395463211256092,0.63,0.6301541209220887,[0.5325     0.44249999],0.6887764091716403,0.535,0.6924733456969261,"[array([0.26303736]), array([[-3.16463262e-04,  2.24148892e-01,  1.59974954e+00]])]",0.5941590026021004,0.7035175879396985,0.5884005664288998
141,28,[0.39439903 2.35032834],0.5820224221392131,0.66,0.5822630708664656,[0.56420515 3.36901728],0.5293955494389244,0.725,0.519888596534729,[0.19333011 1.5160547 ],0.6224044196306676,0.675,0.6070757311582565,[0.72809095 0.50847428],0.6330096745470476,0.615,0.6566601639986038,[0.52499999 0.45000003],0.6900175364593565,0.565,0.6877683854103088,"[array([0.33602829]), array([[0.10826848, 0.11942496, 1.5512145 ]])]",0.5888516081869603,0.6884422110552764,0.6111519685387612
142,28,[0.34964629 2.47269794],0.5816891318485891,0.7,0.5807351714372635,[0.58891199 3.3372775 ],0.5252223392922163,0.73,0.5337497960031032,[0.18194384 1.58453106],0.6165323173954269,0.685,0.6248213697969913,[0.71882154 0.50279292],0.6385201310228502,0.645,0.6343821896612645,[0.54500108 0.46750012],0.6900622428792837,0.56,0.6881764850020409,"[array([0.24321522]), array([[-0.07814022,  0.3423532 ,  1.64800286]])]",0.5917146421968937,0.7035175879396985,0.5992310917377472
143,28,[0.33982362 2.77726699],0.5676172636698188,0.695,0.6297982090711594,[0.50649234 3.56917081],0.5179778659750844,0.735,0.5626699402555824,[0.17231758 1.68190406],0.6051614662725124,0.64,0.6651453284174204,[0.722467   0.51884058],0.6346499037857505,0.6,0.6526058578491211,[0.56000058 0.43999951],0.6859296002529554,0.475,0.7064287751913071,"[array([0.28831656]), array([[0.14191981, 0.09786546, 1.5726791 ]])]",0.588331647515297,0.6683417085427136,0.6165967407822609
144,28,[0.37961868 2.45588123],0.586174087821324,0.76,0.5527635603398084,[0.52437139 3.62450118],0.529028128868007,0.785,0.5153374287486077,[0.17010534 1.58923582],0.6220417061618861,0.74,0.6018121515959501,[0.70909094 0.51532033],0.6433353580102446,0.655,0.615287158191204,[0.52750084 0.45999989],0.6907886377717709,0.58,0.6846914440393448,"[array([0.23173199]), array([[0.1283863 , 0.35348635, 1.41688511]])]",0.6035194453224539,0.7638190954773869,0.5537211167812347
