,agent,fit_parameters_hybrid,train_nlp_hybrid,test_acc_hybrid,test_nlp_hybrid,fit_parameters_wsls,train_nlp_wsls,test_acc_wsls,test_nlp_wsls,fit_parameters_logistic_regression,train_nlp_logistic_regression,test_acc_logistic_regression,test_nlp_logistic_regression,train_acc_rnn,train_nlp_rnn,test_acc_rnn,test_nlp_rnn
33,4,[1.         0.41784298 0.        ],0.6815227312320781,0.56,0.6690708374928015,[0.38150288 0.92045463],0.4702011399199131,0.64,0.5213211907521531,"[array([-1.48369442]), array([[ 2.15116734,  0.30841744, -0.6779739 ]])]",0.46038640004126097,0.6530612244897959,0.5187330760756614,0.7799999713897705,0.5251455903053284,0.6600000262260437,0.6197994351387024
34,4,[0.         0.57533096 0.        ],0.6931469805599653,0.5,0.6931469805599658,[0.41573031 0.92982465],0.47137971124636807,0.76,0.508390208345435,"[array([-1.47647131]), array([[ 2.2373392 ,  0.36127095, -0.41740742]])]",0.46576075725310145,0.7755102040816326,0.4777917873049823,0.7571428418159485,0.5127845406532288,0.7599999904632568,0.5861836075782776
35,4,[0.  0.1 1. ],0.6931469805599653,0.56,0.6931469805599658,[0.41011239 0.91812876],0.4846521350566973,0.78,0.4309706998221494,"[array([-1.36557996]), array([[ 2.24504482,  0.17229832, -0.65272284]])]",0.47540182372279793,0.7755102040816326,0.42414824861920186,0.7457143068313599,0.5520851612091064,0.7400000095367432,0.5541612505912781
36,4,[1.         0.48097056 0.        ],0.6780556616699929,0.54,0.6939400346471487,[0.41340771 0.92352935],0.47994081135515004,0.76,0.4632388214823822,"[array([-1.4278219]), array([[ 2.25294961,  0.31124105, -0.59089916]])]",0.4718416822538603,0.7755102040816326,0.4422168101139264,0.7628571391105652,0.5021995902061462,0.7599999904632568,0.5387235283851624
37,4,[0.         0.76935025 0.53461928],0.6931469805599653,0.6,0.6931469805599658,[0.41573032 0.92397669],0.4786376857755457,0.78,0.46334346736901943,"[array([-1.43426827]), array([[ 2.2413228 ,  0.3300913 , -0.54065057]])]",0.47133300548642115,0.7755102040816326,0.43957529467773887,0.7514285445213318,0.5067941546440125,0.7599999904632568,0.49992144107818604
38,4,[1.         0.46126546 0.        ],0.6792535295817966,0.64,0.6683260251283669,[0.41242935 0.91860474],0.48338176945896894,0.76,0.421876561352622,"[array([-1.42271328]), array([[ 2.20559093,  0.35611486, -0.60091033]])]",0.47481079956297767,0.7755102040816326,0.4092250360482758,0.7485714554786682,0.5332750678062439,0.7799999713897705,0.5034613609313965
39,4,[0.  0.1 0. ],0.6931469805599653,0.48,0.6931469805599658,[0.41040461 0.93181825],0.4617806684852698,0.7,0.5309293312344009,"[array([-1.49969942]), array([[ 2.28762715,  0.37372139, -0.51454405]])]",0.45480883816495,0.7142857142857143,0.5091468820190959,0.7657142877578735,0.5100852251052856,0.7200000286102295,0.5871460437774658
40,5,[0.  0.1 1. ],0.6931469805599653,0.4,0.6931469805599658,[0.69662925 0.59064329],0.6446660728588436,0.62,0.62641573690041,"[array([0.27019466]), array([[ 1.26818692, -0.13433143, -0.2157498 ]])]",0.6410435550648779,0.6326530612244898,0.61845106797263,0.6628571152687073,0.6304446458816528,0.5799999833106995,0.7070915699005127
41,5,[0.92503892 0.86136115 0.        ],0.6572156027277988,0.66,0.6307167131434425,[0.71345021 0.56741577],0.6425287587026879,0.66,0.6431212562554598,"[array([0.34361602]), array([[ 1.12575171e+00, -1.05047968e-01,  9.16008684e-04]])]",0.6403751980695067,0.673469387755102,0.6271986285247106,0.5828571319580078,0.6685459017753601,0.5600000023841858,0.6753838062286377
42,5,[0.  0.1 1. ],0.6931469805599653,0.4,0.6931469805599658,[0.70348885 0.59322058],0.6424030549608645,0.62,0.6375060081803837,"[array([0.34612879]), array([[ 1.19293124, -0.35535306, -0.00281962]])]",0.6378165308470161,0.6326530612244898,0.639033588752769,0.6342856884002686,0.652742326259613,0.47999998927116394,0.7142334580421448
43,5,[0.85891955 1.03203096 0.        ],0.646716082181754,0.5,0.7061661966226512,[0.721591   0.58959541],0.6340264381223071,0.58,0.6970614271838262,"[array([0.33597695]), array([[ 1.2843393 , -0.16290571, -0.05254104]])]",0.6314109454139288,0.5714285714285714,0.6775574556156999,0.6171428561210632,0.6458083391189575,0.5,0.6991146802902222
44,5,[0.  0.1 0. ],0.6931469805599653,0.5,0.6931469805599658,[0.72988449 0.56000212],0.634964905797708,0.66,0.6874784128582283,"[array([0.39814261]), array([[ 1.16582998, -0.09695471,  0.01250336]])]",0.6328879841412204,0.6530612244897959,0.6703192661139303,0.5828571319580078,0.6714138984680176,0.4399999976158142,0.7249905467033386
45,5,[0.91732986 0.95571134 0.        ],0.6513383912553246,0.66,0.6583478402466548,[0.72093028 0.58192092],0.6366576128990981,0.62,0.665750123041741,"[array([0.37469355]), array([[ 1.26189638, -0.23788626, -0.06993528]])]",0.633390258789766,0.6122448979591837,0.6527313154059258,0.5542857050895691,0.6780519485473633,0.36000001430511475,0.7170878052711487
46,5,[0.         0.1        0.29753982],0.6931469805599653,0.52,0.6931469805599658,[0.68571431 0.56321842],0.6538324673925757,0.78,0.5655589898667628,"[array([0.34200897]), array([[ 1.07168341, -0.27473068, -0.14245049]])]",0.6497140428519522,0.7755102040816326,0.5620650161225345,0.5942857265472412,0.6713887453079224,0.6000000238418579,0.6669244170188904
47,5,[0.  0.1 0. ],0.6931469805599653,0.42,0.6931469805599658,[0.70949713 0.58823534],0.6392364338167829,0.58,0.6621802224331131,"[array([0.3275436]), array([[ 1.20862898, -0.21098812, -0.02772372]])]",0.6363323508626746,0.5918367346938775,0.6458645726518888,0.6200000047683716,0.6447504758834839,0.46000000834465027,0.7355952262878418
48,6,[0.  0.1 0. ],0.6931469805599653,0.56,0.6931469805599658,[0.61931818 0.13872824],0.5351002570828636,0.72,0.6290857828283194,"[array([1.25894422]), array([[-1.27383027, -0.5124534 ,  0.02556673]])]",0.5279552970353458,0.7142857142857143,0.6206585882525488,0.7257142663002014,0.5751484632492065,0.6399999856948853,0.6302030682563782
