,action_stage_1,transition_type,reward,prev_reward,transition_prev,stay
220,1.0,1.0,0.0,0.0,1.0,True
221,1.0,1.0,0.0,0.0,1.0,True
222,1.0,0.0,0.0,0.0,1.0,True
223,0.0,1.0,1.0,0.0,0.0,False
224,0.0,1.0,1.0,1.0,1.0,True
225,0.0,1.0,0.0,1.0,1.0,True
226,0.0,1.0,1.0,0.0,1.0,True
227,0.0,1.0,1.0,1.0,1.0,True
228,0.0,1.0,0.0,1.0,1.0,True
229,0.0,1.0,1.0,0.0,1.0,True
230,0.0,1.0,1.0,1.0,1.0,True
231,0.0,1.0,1.0,1.0,1.0,True
232,0.0,1.0,1.0,1.0,1.0,True
233,0.0,1.0,1.0,1.0,1.0,True
234,0.0,1.0,1.0,1.0,1.0,True
235,0.0,1.0,1.0,1.0,1.0,True
236,0.0,1.0,0.0,1.0,1.0,True
237,0.0,1.0,0.0,0.0,1.0,True
238,0.0,1.0,0.0,0.0,1.0,True
239,0.0,1.0,1.0,0.0,1.0,True
240,0.0,1.0,1.0,1.0,1.0,True
241,0.0,1.0,0.0,1.0,1.0,True
242,0.0,1.0,1.0,0.0,1.0,True
243,0.0,1.0,1.0,1.0,1.0,True
244,0.0,0.0,0.0,1.0,1.0,True
245,0.0,1.0,1.0,0.0,0.0,True
246,0.0,1.0,0.0,1.0,1.0,True
247,0.0,1.0,1.0,0.0,1.0,True
248,0.0,1.0,1.0,1.0,1.0,True
249,1.0,0.0,0.0,1.0,1.0,False
250,1.0,1.0,0.0,0.0,0.0,True
251,1.0,1.0,0.0,0.0,1.0,True
252,1.0,1.0,1.0,0.0,1.0,True
253,1.0,0.0,1.0,1.0,1.0,True
254,1.0,1.0,1.0,1.0,0.0,True
255,1.0,1.0,0.0,1.0,1.0,True
256,1.0,1.0,0.0,0.0,1.0,True
257,0.0,1.0,1.0,0.0,1.0,False
258,0.0,0.0,1.0,1.0,1.0,True
259,0.0,1.0,1.0,1.0,0.0,True
260,0.0,1.0,1.0,1.0,1.0,True
261,0.0,1.0,1.0,1.0,1.0,True
262,0.0,1.0,1.0,1.0,1.0,True
263,0.0,1.0,1.0,1.0,1.0,True
264,0.0,1.0,1.0,1.0,1.0,True
265,0.0,1.0,1.0,1.0,1.0,True
266,0.0,1.0,1.0,1.0,1.0,True
